catalognumber,imageID,dsize,lndsize,ecoregion,population,pairs,type,agescore,sex,stateprovince,county,year,PCNM1,lat,lon,scientificname,seas,temp
USNM_170789,USNM_170789_dor1,3.41107762,1.227028259,Pacific,MainlandP,MainlandP,Mainland,12,male,British Columbia,,1910,0.016916653,56.6077877,-124.5774736,Microtus pennsylvanicus drummondii,104.48,-20.4
USNM_170790,USNM_170790_dor1,3.532203436,1.261921879,Pacific,MainlandP,MainlandP,Mainland,12,male,British Columbia,,1910,0.016916653,56.6077877,-124.5774736,Microtus pennsylvanicus drummondii,104.48,-20.4
USNM_170792,USNM_170792_dor1,3.257811175,1.181055551,Pacific,MainlandP,MainlandP,Mainland,11,female,British Columbia,,1910,0.016916653,56.6077877,-124.5774736,Microtus pennsylvanicus drummondii,104.48,-20.4
USNM_170793,USNM_170793_dor1,3.294569558,1.192275525,Pacific,MainlandP,MainlandP,Mainland,8,female,British Columbia,,1910,0.016916653,56.6077877,-124.5774736,Microtus pennsylvanicus drummondii,104.48,-20.4
USNM_170804,USNM_170804_dor,3.26454675,1.183120932,Pacific,MainlandP,MainlandP,Mainland,11,female,British Columbia,,1910,0.015599474,56.0259806,-121.9199258,Microtus pennsylvanicus drummondii,101.29,-17.1
USNM_170806,USNM_170806_dor1,3.391657345,1.221318694,Pacific,MainlandP,MainlandP,Mainland,10,male,British Columbia,,1910,0.015599474,56.0259806,-121.9199258,Microtus pennsylvanicus drummondii,101.29,-17.1
USNM_206114,USNM_206114_dor4,3.487978693,1.249322397,Pacific,MainlandP,MainlandP,Mainland,12,male,British Columbia,,1914,0.052620758,57.9034246,-131.1557028,Microtus pennsylvanicus rubidus,100.16,-18.3
USNM_206115,USNM_206115_dor2,3.464943039,1.242696194,Pacific,MainlandP,MainlandP,Mainland,12,male,British Columbia,,1914,0.052620758,57.9034246,-131.1557028,Microtus pennsylvanicus rubidus,100.16,-18.3
USNM_206116,USNM_206116_dor1,3.338769666,1.205602376,Pacific,MainlandP,MainlandP,Mainland,11,female,British Columbia,,1914,0.052620758,57.9034246,-131.1557028,Microtus pennsylvanicus rubidus,100.16,-18.3
MSB_136608,MSB_136608_dor,3.200667542,1.163359395,Pacific,MainlandP,MainlandP,Mainland,11,male,Alaska,,1956,0.138001852,61.1231919,-149.8208966,Microtus pennsylvanicus,86.78,-14.1
MSB_136609,MSB_136609_dor,3.270042074,1.184802851,Pacific,MainlandP,MainlandP,Mainland,10,female,Alaska,,1956,0.138001852,61.1231919,-149.8208966,Microtus pennsylvanicus,86.78,-14.1
MSB_136678,MSB_136678_dor,3.430960187,1.23284016,Pacific,MainlandP,MainlandP,Mainland,8,male,Alaska,,1957,0.138065944,61.1742,-149.9983,Microtus pennsylvanicus,88.84,-13.9
MSB_136679,MSB_136679_dor,3.443081018,1.236366715,Pacific,MainlandP,MainlandP,Mainland,10,male,Alaska,,1957,0.138040984,61.1978307,-149.8893215,Microtus pennsylvanicus,89.31,-14.3
MSB_136680,MSB_136680_dor,3.457908514,1.240663931,Pacific,MainlandP,MainlandP,Mainland,10,female,Alaska,,1957,0.138040984,61.1978307,-149.8893215,Microtus pennsylvanicus,89.31,-14.3
MSB_136681,MSB_136681_dor,3.479481365,1.24688325,Pacific,MainlandP,MainlandP,Mainland,11,female,Alaska,,1957,0.138040984,61.1978307,-149.8893215,Microtus pennsylvanicus,89.31,-14.3
MSB_136769,MSB_136769_dor,3.512989972,1.256467519,Pacific,MainlandP,MainlandP,Mainland,11,male,Alaska,,1960,0.138065944,61.1742,-149.9983,Microtus pennsylvanicus,88.84,-13.9
